x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.4222163833333332e-05,1.692098339049742e-07,9.769334315456873e-08,1772227084.781275,1.628174e-09,4.191414e-13,2.4199140011851666e-13,1772227084.5399709
5,0.1,1.5309670866666668e-05,1.0218602003459718e-06,5.899712617439118e-07,1772227086.080718,1.629567e-09,6.852265e-13,3.9561570423086513e-13,1772227086.657652
5,0.2,1.83502877e-05,8.916272866464668e-07,5.147812539621533e-07,1772227087.3506107,1.631289e-09,3.951703e-13,2.281516790807452e-13,1772227087.931919
5,0.30000000000000004,2.23123752e-05,5.182773863199775e-07,2.992275885067347e-07,1772227088.6132774,1.631858e-09,1.003433e-12,5.793323126637538e-13,1772227089.2051036
5,0.4,2.8342616466666665e-05,1.5149997311885373e-06,8.746855026239127e-07,1772227089.8862388,1.630266e-09,3.267132e-13,1.8862795396780405e-13,1772227090.4781542
5,0.5,3.3934273000000004e-05,9.348580009856513e-07,5.397405185231412e-07,1772227091.1835618,1.628524e-09,1.494624e-12,8.629215687372753e-13,1772227091.7532325
5,0.6000000000000001,4.16352006e-05,1.756055420010178e-06,1.0138590694547777e-06,1772227092.448275,1.622226e-09,1.824802e-12,1.0535499259177674e-12,1772227093.0269496
5,0.7000000000000001,4.708176503333334e-05,1.0849526871271697e-06,6.263977259708793e-07,1772227093.7154152,1.618909e-09,6.736086e-13,3.8890810653844695e-13,1772227094.3017728
5,0.8,5.502733196666667e-05,2.2289144687276055e-06,1.2868643685205348e-06,1772227094.985544,1.616224e-09,1.203473e-12,6.948254605124465e-13,1772227095.5749712
5,0.9,6.146058756666666e-05,1.726356753150332e-06,9.967125361486726e-07,1772227096.273664,1.612443e-09,9.606874e-13,5.546531289970817e-13,1772227096.8491495
5,1.0,6.95362474e-05,1.0549731878427286e-06,6.090890539888371e-07,1772227097.5366604,1.607219e-09,5.379239e-13,3.1057050846853334e-13,1772227098.1216574
5,1.1,8.326097383333335e-05,3.503668897598179e-06,2.022844181179628e-06,1772227098.8174593,1.603549e-09,1.388608e-12,8.017132025988678e-13,1772227099.3963428
5,1.2000000000000002,9.68996597e-05,2.5560530918537056e-06,1.4757379406447122e-06,1772227100.0993345,1.598372e-09,1.039292e-12,6.000355159666246e-13,1772227100.6694305
5,1.3,0.00012372073633333332,8.14102407767829e-06,4.700222442726785e-06,1772227101.3716035,1.59582e-09,1.578596e-12,9.114028255416665e-13,1772227101.9432886
5,1.4000000000000001,0.00015146027399999998,6.553719338353198e-06,3.783791624191475e-06,1772227102.634885,1.592968e-09,3.329264e-13,1.9221514666033304e-13,1772227103.2173219
5,1.5,0.000209149419,2.3916706655222168e-05,1.3808317025521834e-05,1772227104.8157947,1.590212e-09,1.523866e-12,8.798044453089183e-13,1772227104.4909768
5,1.6,0.000256307692,1.6047928024463757e-05,9.26527556485989e-06,1772227105.427016,1.58985e-09,9.475702e-14,5.4707991004606755e-14,1772227105.974138
5,1.7000000000000002,0.00031335515266666666,1.1172013643375135e-05,6.450165084392806e-06,1772227106.663433,1.591326e-09,6.623719e-13,3.8242059476864393e-13,1772227107.2474189
