x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
0.0,5,8.365789400000001e-05,1.1009359150417759e-05,6.356256469098963e-06,1772225485.043519,4.503648e-09,1.103723e-12,6.372347711607814e-13,1772225485.620561
0.1,5,6.83877236e-05,2.3821666510817807e-06,1.3753445572566156e-06,1772225486.3132956,4.503488e-09,9.313966e-13,5.377420777323021e-13,1772225486.8935156
0.2,5,8.680462486666666e-05,5.364952983590056e-06,3.097457049265405e-06,1772225487.585649,4.502228e-09,8.9199e-13,5.149906666144543e-13,1772225488.1672368
0.30000000000000004,5,0.00010251367840000001,3.606893215310231e-06,2.082440768797597e-06,1772225488.8560226,4.501288e-09,5.406473e-14,3.121428641916444e-14,1772225489.440823
0.4,5,0.00011899547866666667,1.5823560889513957e-06,9.135737139099318e-07,1772225490.13731,4.500403e-09,2.313706e-13,1.3358187819256524e-13,1772225490.7160614
0.5,5,0.00013880924933333332,3.99139393523703e-06,2.3044323629509387e-06,1772225491.4145763,4.501458e-09,5.764299e-13,3.328019579339491e-13,1772225491.98869
0.6000000000000001,5,0.00015482589933333334,2.3773892397451975e-06,1.3725863175354095e-06,1772225492.6828556,4.501043e-09,1.242771e-12,7.175141713910604e-13,1772225493.2622764
0.7000000000000001,5,0.00017912653166666666,7.143568178039885e-06,4.124341010565772e-06,1772225493.9555926,4.502532e-09,8.941243e-14,5.1622290529398574e-14,1772225494.5362968
0.8,5,0.00020496201166666668,6.058918621976608e-06,3.4981182973962312e-06,1772225495.234358,4.502734e-09,5.421617e-13,3.130172034393051e-13,1772225495.810494
0.9,5,0.00029679890499999993,1.9593784950000615e-08,1.1312477015326494e-08,1772225497.4377089,4.500925e-09,5.22776e-13,3.0182486432587584e-13,1772225497.0882323
1.0,5,0.0003119823863333333,1.8583929577590794e-05,1.0729436744223093e-05,1772225498.031312,4.501301e-09,5.813481e-13,3.3564148202787746e-13,1772225498.5992856
1.1,5,0.0003869668466666666,1.2258264482991936e-05,7.077312299053023e-06,1772225499.306614,4.50049e-09,5.251508e-13,3.0319595574514735e-13,1772225499.8727164
1.2000000000000002,5,0.0005152268543333333,3.72767815983121e-05,2.152175989030838e-05,1772225500.5653996,4.499611e-09,1.545966e-13,8.92563886258009e-14,1772225501.1469164
1.3,5,0.0006444166136666667,2.6292142306651416e-05,1.5179775438317144e-05,1772225501.8356123,4.498123e-09,2.436044e-13,1.4064506591577728e-13,1772225502.420907
1.4000000000000001,5,0.000994664859,6.091398394277303e-07,3.516870502677255e-07,1772225503.9229217,4.498089e-09,6.996373e-13,4.0393578349010297e-13,1772225503.6951158
1.5,5,0.001039030402,5.431205494150483e-05,3.1357079540719556e-05,1772225504.5213919,4.497882e-09,3.277443e-13,1.8922325983036547e-13,1772225505.083491
