x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,7.14680152e-06,9.498672662094886e-08,5.4840612184046214e-08,1772658997.4531333,2.444519e-09,1.942923e-11,1.1217471170647152e-11,1772658997.2166755
5,0.1,7.349278806666667e-06,1.8799106464206863e-07,1.0853669177634267e-07,1772658998.3316529,2.457662e-09,4.470795e-13,2.581214696741633e-13,1772658998.912006
5,0.2,9.630904306666666e-06,5.988125297877025e-07,3.457245752670509e-07,1772658999.613046,2.456631e-09,1.023694e-12,5.910300064678047e-13,1772659000.186325
5,0.30000000000000004,1.19291459e-05,4.212806297565873e-07,2.4322648499434076e-07,1772659000.8939126,2.459115e-09,7.119272e-13,4.1103136056341655e-13,1772659001.4640305
5,0.4,1.6119903400000003e-05,1.136489255911153e-06,6.561523778314217e-07,1772659002.1527772,2.459374e-09,6.547628e-13,3.7802747883535313e-13,1772659002.7373283
5,0.5,1.9901104533333332e-05,7.874307735862421e-07,4.5462336909821217e-07,1772659003.4419148,2.459957e-09,1.860432e-13,1.074120916008994e-13,1772659004.0118065
5,0.6000000000000001,2.5646285633333332e-05,1.5222190668376052e-06,8.788535880042724e-07,1772659004.6983712,2.462063e-09,4.307579e-13,2.4869818952055793e-13,1772659005.2854214
5,0.7000000000000001,2.9905547099999997e-05,8.929755746121429e-07,5.155596883820815e-07,1772659005.9792619,2.463584e-09,5.56115e-13,3.2107314495038877e-13,1772659006.5592537
5,0.8,3.4007130000000004e-05,4.19247925107591e-07,2.4205290241805975e-07,1772659007.2403085,2.46527e-09,4.529956e-13,2.6153713160171607e-13,1772659007.8331602
5,0.9,3.933994393333333e-05,1.039782376235016e-06,6.003186348179153e-07,1772659008.5349622,2.466485e-09,2.345448e-13,1.3541450341702697e-13,1772659009.107079
5,1.0,4.34193638e-05,6.022054333478062e-07,3.4768346905081116e-07,1772659009.7978902,2.466659e-09,3.792907e-13,2.189835877461216e-13,1772659010.3821728
5,1.1,4.954039646666667e-05,1.6920225871395135e-06,9.768896961599251e-07,1772659011.0821323,2.467371e-09,5.963246e-13,3.442881683343959e-13,1772659011.6547015
5,1.2000000000000002,5.546912543333334e-05,1.2824462331258031e-06,7.404206779164041e-07,1772659012.3383284,2.469682e-09,1.189133e-13,6.865462576522673e-14,1772659012.9287074
5,1.3,6.710724136666666e-05,4.2206847110238e-06,2.436813454074129e-06,1772659013.6099954,2.470284e-09,5.817849e-13,3.3589366862545953e-13,1772659014.2018986
5,1.4000000000000001,8.107352263333333e-05,3.891259682133117e-06,2.2466198249662928e-06,1772659014.898587,2.471043e-09,4.661797e-13,2.69148975285739e-13,1772659015.4764476
5,1.5,0.0001090095428,1.0077895426025199e-05,5.818475637080548e-06,1772659016.1736403,2.473401e-09,7.426731e-14,4.287825142048939e-14,1772659016.750155
5,1.6,0.00013824477566666668,9.005335342680881e-06,5.1992327842396574e-06,1772659017.4527018,2.473859e-09,2.933214e-13,1.6934918924907791e-13,1772659018.0233896
5,1.7000000000000002,0.00017573023666666668,5.083963916617576e-06,2.935227935809502e-06,1772659018.7103558,2.474718e-09,3.471122e-13,2.004053221090032e-13,1772659019.297819
5,1.8,0.000260701624,2.916267035980575e-05,1.6837075582522173e-05,1772659020.901408,2.476414e-09,5.569349e-13,3.2154651443609734e-13,1772659020.5713954
5,1.9000000000000001,0.000295347079,1.6742971836018642e-05,9.666559296559687e-06,1772659021.5097961,2.47391e-09,3.990877e-14,2.304133910252686e-14,1772659022.0603902
5,2.0,0.0003575430123333333,1.0543501749244856e-05,6.087293573127808e-06,1772659022.7644444,2.474942e-09,6.561175e-13,3.788096152450243e-13,1772659023.332012
5,2.1,0.00044888646933333333,2.3030022874995292e-05,1.3296389906321772e-05,1772659024.029265,2.475615e-09,7.320776e-13,4.226651994276952e-13,1772659024.605491
5,2.2,0.0005194391866666666,1.3113423533648395e-05,7.571038607149475e-06,1772659025.3045554,2.477789e-09,5.432082e-13,3.136214004960121e-13,1772659025.8801262
5,2.3000000000000003,0.0006102533816666667,2.5424730660894282e-05,1.4678975091141046e-05,1772659026.576605,2.47899e-09,5.192948e-13,2.998149925687729e-13,1772659027.1539123
5,2.4000000000000004,0.000680874378,1.5438678918832185e-05,8.913525429719962e-06,1772659027.8385353,2.480295e-09,4.149113e-13,2.3954915074481756e-13,1772659028.4281719
5,2.5,0.0008116878586666666,1.8840582462750337e-07,1.087761535655825e-07,1772659029.9353943,2.481084e-09,5.554206e-13,3.206722329234635e-13,1772659029.7013116
5,2.6,0.000822405258,1.347080271415507e-05,7.777371573217772e-06,1772659030.5329394,2.482031e-09,7.675601e-13,4.431510303542161e-13,1772659031.093983
5,2.7,0.0008708375923333333,5.196625698885618e-06,3.000273246129339e-06,1772659031.7958994,2.484982e-09,4.769215e-13,2.7535075640732014e-13,1772659032.3677166
5,2.8000000000000003,0.0009185915293333332,1.0428404262963299e-05,6.020842008440102e-06,1772659033.051982,2.485211e-09,1.134248e-13,6.548583881277947e-14,1772659033.6416304
5,2.9000000000000004,0.0009509551516666666,4.000859679813828e-06,2.3098974131304333e-06,1772659034.3456903,2.485415e-09,3.381923e-13,1.952554154428587e-13,1772659034.9163516
5,3.0,0.0009789101903333334,5.816950071649571e-06,3.358417689729493e-06,1772659035.6043236,2.486141e-09,1.191331e-12,6.87815273543946e-13,1772659036.1890721
