x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.6126544966666667e-06,5.494927982787574e-09,3.1724981500400134e-09,1772662414.4384952,1.03714e-10,9.89798e-15,5.7146014174335325e-15,1772662415.0127964
5,0.1,1.6262358933333334e-06,7.986255976214529e-09,4.610867037684716e-09,1772662416.5457652,1.037934e-10,9.181479e-14,5.300929372208896e-14,1772662417.1339755
5,0.2,1.73680242e-06,2.939860940788295e-08,1.6973295055441887e-08,1772662417.8266623,1.037786e-10,1.362115e-13,7.86417461917227e-14,1772662418.412331
5,0.30000000000000004,1.8556769866666666e-06,1.8824877580057614e-08,1.0868548138308014e-08,1772662419.110691,1.038469e-10,8.800397e-14,5.080911576925575e-14,1772662419.6896164
5,0.4,2.05633845e-06,5.339009979104606e-08,3.082478848642143e-08,1772662420.3928945,1.039119e-10,7.878572e-14,4.548695665029849e-14,1772662420.9641397
5,0.5,2.2405082066666665e-06,3.5556539479280524e-08,2.0528577639814167e-08,1772662421.6525967,1.040327e-10,1.128863e-13,6.517493569282085e-14,1772662422.2372673
5,0.6000000000000001,2.519349773333333e-06,7.071346785690466e-08,4.0826439702515854e-08,1772662422.930653,1.040181e-10,7.848955e-14,4.531596282107259e-14,1772662423.510932
5,0.7000000000000001,2.719712743333334e-06,4.3426440382919835e-08,2.5072267045026002e-08,1772662424.198757,1.041016e-10,8.387669e-14,4.842622955023479e-14,1772662424.7843502
5,0.8,2.9335078633333335e-06,1.8590686407805263e-08,1.0733337801966285e-08,1772662425.4796581,1.041592e-10,1.092057e-13,6.304994029204151e-14,1772662426.0594847
5,0.9,3.1943403966666667e-06,5.406647778828236e-08,3.121529550519974e-08,1772662426.748353,1.042472e-10,7.728936e-14,4.46230328014939e-14,1772662427.3329036
5,1.0,3.4069166733333335e-06,2.9078945734525658e-08,1.678873714757891e-08,1772662428.02865,1.04337e-10,6.274659e-14,3.6226760627231084e-14,1772662428.6070907
5,1.1,3.7440139933333328e-06,9.01854060103211e-08,5.206856843703458e-08,1772662429.3098428,1.044751e-10,8.313115e-14,4.7995791830543165e-14,1772662429.8802755
