x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.6181517266666664e-06,6.19995788186949e-09,3.579547352061692e-09,1772662785.566643,8.572116e-11,8.596333e-14,4.963095171593663e-14,1772662786.1489415
5,0.1,1.6530007066666667e-06,2.7556456594941422e-08,1.5909727633001668e-08,1772662787.6861017,8.55619e-11,1.597712e-13,9.224394532874954e-14,1772662788.2696931
5,0.2,1.73217579e-06,2.3025893875288897e-08,1.3294006027229801e-08,1772662788.9541852,8.533764e-11,1.52864e-13,8.825607154940296e-14,1772662789.5434752
5,0.30000000000000004,1.8369465933333332e-06,1.2389876511726103e-08,7.153298539271288e-09,1772662790.2302377,8.519881e-11,1.631048e-13,9.416860018612008e-14,1772662790.8216548
5,0.4,2.0033809366666666e-06,4.17067749824737e-08,2.407941776316234e-08,1772662791.5278616,8.505505e-11,1.344923e-13,7.764916560893191e-14,1772662792.0963757
5,0.5,2.163273316666667e-06,2.4826981138518546e-08,1.4333864243489445e-08,1772662792.777831,8.490254e-11,1.336176e-13,7.714415732847174e-14,1772662793.3701704
5,0.6000000000000001,2.37609834e-06,5.0936664938007734e-08,2.940829721358054e-08,1772662794.0616689,8.478189e-11,1.13204e-13,6.53583598733424e-14,1772662794.6429174
5,0.7000000000000001,2.532359066666667e-06,3.111894809481235e-08,1.79665330594379e-08,1772662795.3455935,8.46801e-11,1.261346e-13,7.282384526412577e-14,1772662795.9166741
5,0.8,2.7555069466666667e-06,5.7008978941677475e-08,3.29141493382032e-08,1772662796.6050994,8.463574e-11,9.557752e-14,5.518170690047684e-14,1772662797.1912057
5,0.9,2.9146282266666667e-06,3.81640454069623e-08,2.2034021889074786e-08,1772662797.880961,8.454572e-11,1.579117e-13,9.117036250319143e-14,1772662798.4645076
5,1.0,3.096459793333333e-06,2.1863442645447084e-08,1.2622864496760818e-08,1772662799.148478,8.450294e-11,1.168107e-13,6.744068908922862e-14,1772662799.738699
5,1.1,3.3918428133333334e-06,7.549306214380298e-08,4.35859397506738e-08,1772662800.4392078,8.44854e-11,1.201355e-13,6.936026326423029e-14,1772662801.012637
5,1.2000000000000002,3.69262357e-06,5.8694309035335e-08,3.3887175121449745e-08,1772662801.6963391,8.441996e-11,1.138599e-13,6.573704391490388e-14,1772662802.2869165
5,1.3,4.3404265166666675e-06,1.9925271419039994e-07,1.1503860817459098e-07,1772662802.9753354,8.44205e-11,1.099011e-13,6.345142966923598e-14,1772662803.5606766
5,1.4000000000000001,5.04369929e-06,1.659671379378585e-07,9.582117176505437e-08,1772662804.249475,8.440629e-11,1.254544e-13,7.243113161102299e-14,1772662804.8344936
5,1.5,6.42551971e-06,4.3824154722051935e-07,2.5301887525784495e-07,1772662805.522242,8.441339e-11,9.214381e-14,5.3199253507657733e-14,1772662806.1085691
5,1.6,7.74789042e-06,3.306943453839827e-07,1.909264693269295e-07,1772662806.7902198,8.44142e-11,1.123926e-13,6.488989786492194e-14,1772662807.3823767
5,1.7000000000000002,9.383553683333333e-06,1.8878053277893001e-07,1.0899249141767622e-07,1772662808.0868857,8.439486e-11,7.818267e-14,4.513878557046368e-14,1772662808.655584
5,1.8,1.2030285033333335e-05,6.037060881784797e-07,3.485498725212612e-07,1772662809.3396018,8.447203e-11,1.377795e-13,7.954703141381206e-14,1772662809.929951
5,1.9000000000000001,1.4449664733333334e-05,3.474935876111033e-07,2.006255163489393e-07,1772662810.6253085,8.449267e-11,1.062181e-13,6.13250486278106e-14,1772662811.2041855
5,2.0,1.7944139166666668e-05,8.588877769034805e-07,4.958790891989037e-07,1772662811.903772,8.452512e-11,1.14196e-13,6.59310913403785e-14,1772662812.4779136
5,2.1,2.0803397033333335e-05,4.610098463384147e-07,2.6616415888255173e-07,1772662813.170175,8.458368e-11,1.270991e-13,7.338069959875917e-14,1772662813.750594
5,2.2,2.44314468e-05,9.563787916771197e-07,5.521655528220341e-07,1772662814.4479916,8.462253e-11,7.445332e-14,4.2985644344061346e-14,1772662815.0249715
5,2.3000000000000003,2.7288391366666665e-05,5.595237082332929e-07,3.230411635664693e-07,1772662815.7283983,8.464894e-11,9.121061e-14,5.266047023644998e-14,1772662816.2988372
5,2.4000000000000004,3.0697671066666666e-05,8.696246865713591e-07,5.020780468859181e-07,1772662816.9870257,8.469451e-11,9.135542e-14,5.274407632893133e-14,1772662817.5730007
5,2.5,3.296758076666667e-05,5.025534434227286e-07,2.901493658422857e-07,1772662818.2660503,8.471939e-11,1.122319e-13,6.479711767666317e-14,1772662818.8503618
5,2.6,3.489608986666667e-05,1.760295794565265e-07,1.016307250845622e-07,1772662819.5332987,8.476409e-11,9.840586e-14,5.6814649760836624e-14,1772662820.1233366
5,2.7,3.6716768599999996e-05,3.768405990379038e-07,2.175690212961136e-07,1772662820.8169427,8.480907e-11,1.241599e-13,7.168375168755702e-14,1772662821.3979833
5,2.8000000000000003,3.8019513433333334e-05,1.4533237096809742e-07,8.39076835003976e-08,1772662822.0821562,8.484161e-11,8.716855e-14,5.032678580736936e-14,1772662822.6715682
