x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.5267882066666667e-06,2.824529512801944e-09,1.6307428745502451e-09,1772663565.8386838,4.405475e-11,4.709892e-14,2.719257414054065e-14,1772663566.418882
5,0.1,1.5410660866666668e-06,4.79384945088553e-09,2.7677302709233003e-09,1772663567.9635072,4.404433e-11,1.27908e-13,7.384771823150665e-14,1772663568.5409606
5,0.2,1.5869592799999999e-06,1.6616034572352043e-08,9.59327203321158e-09,1772663569.2387812,4.400335e-11,1.234959e-13,7.130039110881512e-14,1772663569.8140776
5,0.30000000000000004,1.6318077533333334e-06,1.2710967526083688e-08,7.338680522845009e-09,1772663570.5084925,4.408842e-11,1.029473e-13,5.943665136734516e-14,1772663571.0924118
5,0.4,1.6920037000000001e-06,7.232151927773709e-09,4.175484862320423e-09,1772663571.774155,4.422089e-11,4.220203e-14,2.4365353380848664e-14,1772663572.3658128
5,0.5,1.7834418466666667e-06,2.2078538564247345e-08,1.2747050183381739e-08,1772663573.0591028,4.447577e-11,8.104403e-14,4.6790792536712105e-14,1772663573.6404405
5,0.6000000000000001,1.8593583933333334e-06,1.02706072476926e-08,5.929737859196245e-09,1772663574.3286946,4.476048e-11,9.985007e-14,5.764846479310298e-14,1772663574.9137204
5,0.7000000000000001,1.9527864866666667e-06,2.3003308417814443e-08,1.3280966307277154e-08,1772663575.6080015,4.500164e-11,5.69263e-14,3.2866414628969394e-14,1772663576.187053
5,0.8,2.0289020266666667e-06,1.1998056549117544e-08,6.927081178385367e-09,1772663576.8902109,4.521155e-11,9.063124e-14,5.2325970810989586e-14,1772663577.4617043
5,0.9,2.12292711e-06,2.519191773727037e-08,1.4544560487015957e-08,1772663578.145147,4.531047e-11,7.338527e-14,4.236900538905337e-14,1772663578.7353072
5,1.0,2.1982217933333335e-06,2.0994548932651192e-08,1.2121208477780936e-08,1772663579.4296474,4.54232e-11,1.166655e-13,6.735685783014229e-14,1772663580.0092266
5,1.1,2.300579783333333e-06,1.2435640628388285e-08,7.1797204643454234e-09,1772663580.7182145,4.552295e-11,5.984134e-14,3.454941375766792e-14,1772663581.2825916
5,1.2000000000000002,2.4850729100000003e-06,5.745868173440852e-08,3.3173785366641795e-08,1772663581.965346,4.56311e-11,9.786553e-14,5.65026900898854e-14,1772663582.5565832
5,1.3,2.7203594733333334e-06,4.795875853102415e-08,2.7689002147887054e-08,1772663583.2450082,4.577932e-11,9.434354e-14,5.446926821530223e-14,1772663583.835961
5,1.4000000000000001,3.1878233199999997e-06,1.5398523628397907e-07,8.890341761978345e-08,1772663584.527821,4.597294e-11,8.143735e-14,4.7017875944589774e-14,1772663585.110347
5,1.5,3.716552703333333e-06,1.212385131076596e-07,6.999708817885724e-08,1772663585.8131747,4.607694e-11,1.119052e-13,6.460849734371892e-14,1772663586.3866072
5,1.6,4.6466298833333335e-06,2.764964279033279e-07,1.5963528707995633e-07,1772663587.0916631,4.626772e-11,9.331031e-14,5.387273259666743e-14,1772663587.659796
5,1.7000000000000002,5.501462126666666e-06,2.3154713017528264e-07,1.3368379793678477e-07,1772663588.3473277,4.641906e-11,6.905909e-14,3.9871284201490594e-14,1772663588.9344776
5,1.8,6.647846736666666e-06,1.2580640259868089e-07,7.263436040612684e-08,1772663589.62991,4.662181e-11,1.018685e-13,5.88138058969434e-14,1772663590.2079859
5,1.9000000000000001,8.298409746666666e-06,3.6944057352678627e-07,2.132966145752598e-07,1772663590.8954263,4.671642e-11,5.867485e-14,3.387594044216092e-14,1772663591.482831
5,2.0,9.794851223333333e-06,2.083796098653797e-07,1.2030802384940617e-07,1772663592.1656432,4.682874e-11,1.112145e-13,6.420972151278963e-14,1772663592.756597
5,2.1,1.1788929100000001e-05,4.450140822925572e-07,2.569290002047822e-07,1772663593.4492106,4.690205e-11,9.84761e-14,5.685520284374451e-14,1772663594.0293345
5,2.2,1.3301837433333331e-05,2.704164784171054e-07,1.5612502660742643e-07,1772663594.7209954,4.697312e-11,1.07346e-13,6.197624199642958e-14,1772663595.303138
5,2.3000000000000003,1.5345514833333334e-05,4.90664252048467e-07,2.8328513800190877e-07,1772663595.985023,4.703081e-11,7.714819e-14,4.45415282639924e-14,1772663596.5773134
5,2.4000000000000004,1.67840985e-05,2.834744199559923e-07,1.636640326699652e-07,1772663597.2799435,4.70417e-11,1.218863e-13,7.037108811552749e-14,1772663597.8516598
5,2.5,1.8363346733333333e-05,4.532024300782623e-07,2.616565450030773e-07,1772663598.543242,4.704419e-11,1.222738e-13,7.059481134483846e-14,1772663599.1250334
5,2.6,1.94582663e-05,2.1679794739343577e-07,1.2516835328735848e-07,1772663599.8165178,4.710776e-11,1.070973e-13,6.183265498448212e-14,1772663600.3984733
5,2.7,2.0293746266666668e-05,9.583704644517961e-08,5.533154456346312e-08,1772663601.1111662,4.712468e-11,1.114415e-13,6.434078002389569e-14,1772663601.672651
5,2.8000000000000003,2.1219321200000003e-05,1.589200807126863e-07,9.175255137910648e-08,1772663602.3711643,4.714536e-11,9.445089e-14,5.453124676669973e-14,1772663602.9465282
5,2.9000000000000004,2.1742851866666667e-05,6.459263321681676e-08,3.7292574175395925e-08,1772663603.6504204,4.719791e-11,1.164312e-13,6.722158466207116e-14,1772663604.2204473
5,3.0,2.220688303333333e-05,8.238571919624329e-08,4.7565417155331986e-08,1772663604.9296813,4.726268e-11,9.209789e-14,5.317274158329654e-14,1772663605.494081
5,3.1,2.2452069599999996e-05,3.458041269283349e-08,1.996501057689577e-08,1772663606.1995852,4.734405e-11,1.24848e-13,7.20810264077864e-14,1772663606.7682974
5,3.2,2.265355193333333e-05,2.7945789641414713e-08,1.613450917218744e-08,1772663607.4594371,4.741919e-11,1.405148e-13,8.112625760512643e-14,1772663608.0410862
5,3.3000000000000003,2.2753173733333333e-05,5.554624808412068e-09,3.206964128384081e-09,1772663608.7259917,4.746374e-11,9.244524e-14,5.337328419929956e-14,1772663609.3154802
5,3.4000000000000004,2.285622823333333e-05,5.021777959602911e-09,2.8993248567872702e-09,1772663610.0071318,4.748626e-11,9.23649e-14,5.3326899878672866e-14,1772663610.589562
5,3.5,2.2933512833333337e-05,6.42552003930815e-09,3.7097757243778955e-09,1772663611.279463,4.759311e-11,7.35536e-14,4.2466190759866057e-14,1772663611.8628926
5,3.6,2.30154241e-05,4.739300536999104e-09,2.736236440806971e-09,1772663612.5455847,4.762712e-11,1.015324e-13,5.861975847146875e-14,1772663613.1379125
5,3.7,2.3110668033333336e-05,8.960042008954002e-09,5.173082665819949e-09,1772663613.839466,4.767318e-11,6.878382e-14,3.971235699289077e-14,1772663614.4112988
